,train_loss,val_loss
0,0.27223346,tensor(0.2261)
1,0.219329,tensor(0.2065)
2,0.20942423,tensor(0.2024)
3,0.20519786,tensor(0.1993)
4,0.19881162,tensor(0.1797)
5,0.17320886,tensor(0.1656)
6,0.16765417,tensor(0.1637)
7,0.16629128,tensor(0.1628)
8,0.1651963,tensor(0.1615)
9,0.15953906,tensor(0.1518)
10,0.14952755,tensor(0.1443)
11,0.14650267,tensor(0.1426)
12,0.14503475,tensor(0.1415)
13,0.14418878,tensor(0.1409)
14,0.14358301,tensor(0.1404)
15,0.14307988,tensor(0.1401)
16,0.14288121,tensor(0.1399)
17,0.14267449,tensor(0.1398)
18,0.1425867,tensor(0.1398)
19,0.14250049,tensor(0.1397)
