,train_loss,val_loss
0,0.41597107,tensor(0.3935)
1,0.36641848,tensor(0.3379)
2,0.3077128,tensor(0.2770)
3,0.24849553,tensor(0.2207)
4,0.19784541,tensor(0.1756)
5,0.15869574,tensor(0.1414)
6,0.12944216,tensor(0.1158)
7,0.107507296,tensor(0.0963)
8,0.09076602,tensor(0.0814)
9,0.07796232,tensor(0.0700)
10,0.06832182,tensor(0.0614)
11,0.06122572,tensor(0.0552)
12,0.056126174,tensor(0.0507)
13,0.052547656,tensor(0.0476)
14,0.05009448,tensor(0.0455)
15,0.04845088,tensor(0.0441)
16,0.047374114,tensor(0.0431)
17,0.04668408,tensor(0.0425)
18,0.046251316,tensor(0.0421)
19,0.04598561,tensor(0.0419)
