,train_loss,val_loss
0,0.44160613,tensor(0.4211)
1,0.39760137,tensor(0.3687)
2,0.33858022,tensor(0.3037)
3,0.2722227,tensor(0.2381)
4,0.21080187,tensor(0.1821)
5,0.160516,tensor(0.1381)
6,0.121696666,tensor(0.1046)
7,0.092018515,tensor(0.0787)
8,0.06885683,tensor(0.0583)
9,0.050660577,tensor(0.0424)
10,0.036563464,tensor(0.0302)
11,0.0258802,tensor(0.0211)
12,0.017969863,tensor(0.0145)
13,0.012245605,tensor(0.0097)
14,0.008195374,tensor(0.0064)
15,0.0053918874,tensor(0.0042)
16,0.0034926366,tensor(0.0027)
17,0.0022327125,tensor(0.0017)
18,0.0014139235,tensor(0.0010)
19,0.00089250685,tensor(0.0007)
