,train_loss,val_loss
0,0.44307977,tensor(0.4229)
1,0.39920995,tensor(0.3714)
2,0.34108874,tensor(0.3076)
3,0.27582967,tensor(0.2431)
4,0.21504512,tensor(0.1874)
5,0.16468832,tensor(0.1430)
6,0.12553982,tensor(0.1090)
7,0.09549321,tensor(0.0827)
8,0.07196971,tensor(0.0619)
9,0.053428058,tensor(0.0456)
10,0.039013248,tensor(0.0331)
11,0.028049858,tensor(0.0236)
12,0.019902224,tensor(0.0167)
13,0.013984012,tensor(0.0118)
14,0.009780302,tensor(0.0083)
15,0.006858926,tensor(0.0059)
16,0.0048715817,tensor(0.0043)
17,0.0035476065,tensor(0.0032)
18,0.0026834058,tensor(0.0025)
19,0.002130586,tensor(0.0021)
